zip_part	map	page	images	categories
1	747	https://counterstrike.fandom.com/wiki/747	Image	Counter-Strike Hostage maps
1	Abbey	https://counterstrike.fandom.com/wiki/Abbey	Image; Radar; Logo	Community Bomb maps; Counter-Strike: Global Offensive removed maps
1	Agency	https://counterstrike.fandom.com/wiki/Agency	Image; Radar; Logo	Community Hostage maps; Operation Bloodhound maps; Operation Bravo maps; Operation Hydra maps; Operation Phoenix maps; Counter-Strike: Global Offensive Hostage maps
1	Airstrip	https://counterstrike.fandom.com/wiki/Airstrip	Image	Counter-Strike (Xbox) Bomb maps; Counter-Strike Bomb maps; Counter-Strike: Condition Zero Bomb maps
1	Ali	https://counterstrike.fandom.com/wiki/Ali	Image; Radar	Community Bomb maps; Operation Bravo maps; Operation Phoenix maps
1	Alley1	https://counterstrike.fandom.com/wiki/Alley1	Image	Counter-Strike cut maps
1	Alleyway	https://counterstrike.fandom.com/wiki/Alleyway	Image	Counter-Strike: Global Offensive cut maps
1	Ancient	https://counterstrike.fandom.com/wiki/Ancient	Image; Radar; Logo	Counter-Strike 2 Bomb maps; Counter-Strike: Global Offensive Bomb maps; Operation Broken Fang maps; Active Duty Group; Defusal Group Sigma; Retakes Group
1	Anubis	https://counterstrike.fandom.com/wiki/Anubis	Image; Radar; Logo	Community Bomb maps; Counter-Strike 2 Bomb maps; Counter-Strike: Global Offensive Bomb maps; Active Duty Group; Defusal Group Delta
1	Apollo	https://counterstrike.fandom.com/wiki/Apollo	Image; Radar; Logo	Community Hostage maps; Operation Broken Fang maps
1	Arabstreets	https://counterstrike.fandom.com/wiki/Arabstreets	Image	Counter-Strike cut maps
1	Arcticbiolab	https://counterstrike.fandom.com/wiki/Arcticbiolab	Image	Counter-Strike (Xbox) cut maps; Counter-Strike: Condition Zero cut maps
1	Assault	https://counterstrike.fandom.com/wiki/Assault	Image; Radar; Logo	Counter-Strike Hostage maps; Counter-Strike: Global Offensive Hostage maps; Counter-Strike: Source Hostage maps
1	Assembly	https://counterstrike.fandom.com/wiki/Assembly	Image; Radar; Logo	Counter-Strike 2 Community Wingman maps
1	Austria	https://counterstrike.fandom.com/wiki/Austria	Image; Radar; Logo	Community Bomb maps; Operation Hydra maps; Counter-Strike: Global Offensive removed maps
1	Autumn Harvest	https://counterstrike.fandom.com/wiki/Autumn_Harvest	Image; Radar	Operation Broken Fang maps; Co-op Strike maps
1	Aztec	https://counterstrike.fandom.com/wiki/Aztec	Image; Radar; Logo	Counter-Strike (Xbox) Bomb maps; Counter-Strike Bomb maps; Counter-Strike: Condition Zero Bomb maps; Counter-Strike: Source Bomb maps; Counter-Strike: Global Offensive removed maps
1	Aztec2	https://counterstrike.fandom.com/wiki/Aztec2	Image	Counter-Strike Community maps
1	Backalley	https://counterstrike.fandom.com/wiki/Backalley	Image; Radar	Community Hostage maps; Operation Vanguard maps; Counter-Strike Hostage maps
1	Baggage	https://counterstrike.fandom.com/wiki/Baggage	Image; Upper Radar; Lower Radar; Logo	Counter-Strike: Global Offensive Arms Race maps; Arms Race Group
1	Balkan (map)	https://counterstrike.fandom.com/wiki/Balkan_(map)	Image	Counter-Strike: Global Offensive cut maps
1	Bank	https://counterstrike.fandom.com/wiki/Bank	Image; Radar; Logo	Demolition Group
1	Basalt	https://counterstrike.fandom.com/wiki/Basalt	Image; Radar; Logo	Community Bomb maps; Counter-Strike 2 Community Bomb maps; Operation Riptide maps
1	Bazaar	https://counterstrike.fandom.com/wiki/Bazaar	Image; Radar	Community Bomb maps; Operation Vanguard maps
1	Biome	https://counterstrike.fandom.com/wiki/Biome	Image; Radar; Logo	Community Bomb maps; Counter-Strike: Global Offensive removed maps
1	Black Gold	https://counterstrike.fandom.com/wiki/Black_Gold	Image; Radar; Icon	Community Bomb maps; Operation Breakout maps; Operation Hydra maps
1	Blacksite	https://counterstrike.fandom.com/wiki/Blacksite	Image; Radar; Logo	Danger Zone maps; Danger Zone Group
1	Blagai	https://counterstrike.fandom.com/wiki/Blagai	Image; Radar; Logo	Community Bomb maps; Counter-Strike: Global Offensive removed maps
1	Boyard	https://counterstrike.fandom.com/wiki/Boyard	Image; Radar; Logo	Community Bomb maps
1	Breach	https://counterstrike.fandom.com/wiki/Breach	Image	Community Bomb maps; Counter-Strike: Global Offensive removed maps
1	Brewery	https://counterstrike.fandom.com/wiki/Brewery	Image; Radar; Logo	Counter-Strike 2 Community Wingman maps
1	Bridge	https://counterstrike.fandom.com/wiki/Bridge	Image	Counter-Strike (Xbox) cut maps; Counter-Strike: Condition Zero cut maps
1	Bunker	https://counterstrike.fandom.com/wiki/Bunker	Image	Counter-Strike cut maps
1	Cache	https://counterstrike.fandom.com/wiki/Cache	Image; Radar; Logo	Community Bomb maps; Counter-Strike 2 Bomb maps; Counter-Strike: Global Offensive Bomb maps; Operation Bravo maps; Operation Phoenix maps; Active Duty Group
1	Calavera	https://counterstrike.fandom.com/wiki/Calavera	Image; Radar; Logo	Community Bomb maps; Counter-Strike: Global Offensive removed maps
1	Canal	https://counterstrike.fandom.com/wiki/Canal	Image	Counter-Strike (Xbox) cut maps; Counter-Strike: Condition Zero cut maps
